shipment_id,customer_id,origin_city,destination_city,carrier,shipment_mode,distance_km,package_weight,weather_condition,traffic_level,shipment_status,delay_hours,shipment_date
13,1c092755-06b7-4988-be48-003cbb6c9dce,Huangyang,Bagong Barrio,BlueDart,Sea,391,17,Storm,High,Delivered,36,10/26/2024
14,0991cf9c-a213-4fd2-a8aa-adde8824f558,Machinga,Huaping,DHL,Sea,1892,98,Fog,Low,Delivered,43,6/2/2025
15,f87572e3-bbc5-4b81-b466-42fd875663a2,Port Saint Lucie,Zephyrhills,UPS,Sea,1753,27,Rain,High,Exception,69,4/13/2026
16,010d05d8-3e33-48d1-9db8-ad5008fdeb59,Ferkessédougou,Montpellier,UPS,Road,445,46,Storm,High,Exception,68,11/18/2024
17,ae2e1760-dc1c-4d8c-b304-0b9e9ceb4ee1,Macari,Kediri,Delhivery,Sea,2029,9,Clear,Low,Delayed,50,10/7/2025
18,ce0c5fb6-0cf6-4d6c-b64a-f2eecdca6ca9,Tajan,Lāmerd,Delhivery,Sea,187,34,Rain,Medium,In Transit,64,8/8/2024
19,9c02341f-898f-4c62-a7b9-60a9baaf305e,Steinkjer,Mojocoya,UPS,Road,1381,82,Fog,High,In Transit,64,8/28/2024
20,ec880d0a-ab3d-4ce1-9550-60de82746f1c,Malaga,Gabès,DHL,Rail,1923,77,Clear,Low,Delayed,13,9/26/2024
21,ca399d0e-8fa5-4fff-98aa-b539856ff323,Colombo,Pryvol’ny,BlueDart,Air,1224,26,Clear,Medium,Delivered,71,7/12/2024
22,7c0ac44d-b10a-4193-80c3-a1b702e9734c,Sahagún,Zeewolde,FedEx,Air,796,40,Storm,Medium,Exception,29,10/10/2025
23,61a537b3-111c-4d28-a7b3-db39f1b0703d,Taposan,Livorno,BlueDart,Rail,1932,65,Heatwave,Medium,Delayed,45,2/19/2024
24,f7f02d8b-5f26-4fa3-855e-0ed43fcabf9f,Savannah,Nîmes,UPS,Air,1806,69,Storm,High,Delayed,44,12/26/2025
25,4435c0c9-f5d9-45a8-aff5-fb9eb59f6e0a,Birmingham,Boavista,BlueDart,Air,1435,20,Heatwave,High,Delayed,7,10/31/2024
26,91dec2cb-1e5d-4af8-899f-05f2c7e2d9f4,Vecumnieki,Garupá,FedEx,Sea,2456,78,Heatwave,High,Delivered,3,5/11/2025
27,4c46ee68-4cde-41e0-902a-4a50bcb0e86d,Crossfield,Bacem,BlueDart,Rail,1354,100,Storm,Low,Delivered,62,12/8/2024
28,fee600f8-851c-4070-b7c6-c6472fb42141,Zhen’an,Campinas,UPS,Sea,2126,82,Fog,Low,Delivered,17,1/6/2025
29,4d259452-13ac-40dd-8894-f9a017ca4076,Kuressaare,La Unión,BlueDart,Road,685,32,Heatwave,High,Delivered,60,5/30/2025
30,78e8b082-f60c-423d-afc0-556e80577f55,Pontes,Benito Juarez,BlueDart,Road,1338,31,Storm,High,Delivered,24,9/10/2025
31,ca725c38-4af1-43ac-b677-076d098c8242,Černošice,Selajambe Satu,Delhivery,Sea,735,26,Rain,Low,Delivered,10,1/1/2026
32,821110d1-14d1-4b44-ae19-282bace92d7c,Mosjøen,Shiozawa,UPS,Rail,2238,68,Rain,High,In Transit,52,9/1/2025
33,6a4df86b-adc6-4fa2-a537-72af45034bf4,Iwata,Imeni Babushkina,UPS,Road,319,23,Storm,Medium,Exception,59,11/26/2025
34,9093683f-32ff-49a0-99b6-e87fd3d8fa0c,Qiulu,Ra-ngae,UPS,Rail,1362,66,Heatwave,Medium,Delayed,22,10/10/2024
35,3a08de79-165c-4ea1-9c51-dd3d2a66f32d,Sadkowice,Mtsamdou,DHL,Rail,291,94,Heatwave,High,Delayed,3,11/11/2025
36,f5ba4861-dbf2-45de-9776-77453fa4d900,Žandov,Dingjiaqiao,UPS,Road,1957,25,Fog,Low,In Transit,34,12/20/2025
37,ec06967b-cab2-4869-bf85-712e15872dce,Nangalimang,Pandean,UPS,Sea,2032,47,Rain,High,Delayed,8,9/2/2024
38,2d69e463-8bf1-48d5-bb0c-ef08452ace3f,Chiryū,Qingjiang,FedEx,Rail,743,8,Rain,High,Delayed,22,6/10/2025
39,b56f5e4c-0a9f-4b03-8c10-19f56b1d5cc1,Ivot,Nova Odesa,FedEx,Air,1854,44,Fog,High,Delayed,54,4/25/2025
40,63a89aac-5766-4290-9aeb-370158ac6350,Dabat,Za‘tarah,FedEx,Road,294,67,Heatwave,High,Delayed,54,4/16/2024
41,0138ee0a-6d06-4d41-967b-100c7c3b194d,Luleå,Jelbuk,FedEx,Sea,1056,75,Fog,Medium,In Transit,29,8/21/2025
42,8f92365b-e59f-404e-8431-ced04473494b,El Paso,Ibarra,UPS,Sea,89,20,Heatwave,Low,Delivered,43,7/24/2025
43,7f377cb3-9376-4267-aaa3-fac74c69d43b,Guali,Pa Phayom,BlueDart,Air,2185,47,Rain,Low,Delayed,63,4/28/2024
44,f352ac51-a748-4f13-807a-2e89015a2384,Lugovoy,Isyangulovo,BlueDart,Air,2974,11,Fog,High,Delayed,21,3/22/2025
45,dd2b1374-a5ff-4416-893e-bbc0a3fa8c1a,Panadura,Fangshan,DHL,Air,2675,19,Storm,Medium,In Transit,63,8/17/2024
46,37f016e6-810f-4d36-92f7-e5bcaf28fd29,Xuedian,Zagreb,DHL,Road,1056,67,Heatwave,Medium,In Transit,47,8/14/2024
47,6a72d4b1-c5d5-4658-abec-3144d4083acf,Logan Lake,Duotian,UPS,Road,216,80,Storm,High,Delayed,37,1/23/2026
48,1f1a9e6f-4644-42d4-a93c-72180d032f01,Tukhlya,Simo,FedEx,Rail,1105,38,Rain,Medium,Exception,14,5/21/2025
49,ae6174e0-c983-4074-b726-ece306514808,Dongyang,Zeerust,UPS,Air,1037,80,Fog,Medium,Exception,69,3/18/2025
50,91792c72-54e5-4ede-9299-d14a759114b4,Novogurovskiy,Chang Klang,DHL,Rail,2645,48,Storm,Medium,Delivered,69,3/23/2026
51,d89476c4-9157-47e9-95ad-d271be5eebd3,Oss,Bazha,Delhivery,Road,2588,70,Rain,High,Exception,28,11/18/2024
52,2822cbe1-7647-40ad-80c6-b1e718e984ff,Qihama,Soledad,BlueDart,Air,455,57,Storm,Medium,Delivered,5,4/7/2024
53,d1976950-9520-4f15-be93-38bfb6f0399c,Tengqiao,Plato,FedEx,Sea,214,98,Rain,Low,Exception,62,1/21/2026
54,f2c99a64-7e53-4709-ac33-ba68d60e3993,Manolo Fortich,Bendungan,BlueDart,Road,509,44,Heatwave,Low,Delivered,56,4/7/2026
55,9e111943-41c4-4a6b-99ec-8ce66b2fa565,Sergeyevka,Ormož,BlueDart,Rail,306,73,Rain,Low,Exception,11,11/8/2024
56,a2fd0d63-2f89-45c4-ad50-8689a218aa2b,Alexandroúpoli,Paris 13,UPS,Sea,484,50,Rain,Medium,In Transit,29,6/12/2025
57,1a42a603-d727-4e0e-937b-1490089c650f,Berlin,Jiaohu,DHL,Rail,735,17,Heatwave,High,Exception,72,2/20/2024
58,dbfdcbf7-f235-40a4-87a5-da5e0f10a02e,Xia Dawo,Ailibugai,FedEx,Sea,78,17,Heatwave,Medium,Exception,1,2/16/2026
59,abcc88b6-851e-4f90-8592-c729bfc5236d,Bashtanka,Meadow Lake,UPS,Sea,1379,61,Rain,Low,Delayed,71,4/20/2024
60,3fbe8217-b810-4bf3-abf1-18a433e78a88,Boca de Uchire,Chivor,DHL,Air,2498,10,Fog,Medium,Exception,34,5/11/2024
61,c78bccd6-f3d8-43a6-bdd6-7547e72c5912,Shijing,Yangqiao,FedEx,Rail,1891,57,Rain,Low,In Transit,54,4/16/2026
62,7e1a24b9-6242-4634-a45d-9d006770a214,Jarada,Yanwo,FedEx,Sea,2304,46,Rain,High,Delivered,46,2/28/2026
63,5d95214d-b54b-47fb-91bc-4e6073b75326,El Cuy,Sanlifan,DHL,Rail,522,6,Storm,Low,Delivered,20,1/13/2026
64,48a6cdfe-8aa1-4340-8a78-e17cf541d799,Hannover,Sóc Sơn,Delhivery,Sea,588,40,Rain,Low,Delayed,40,2/10/2025
65,e323d3cd-f914-42d3-80ce-6f0dd1ee768e,Mrozy,Satun,Delhivery,Air,1854,90,Clear,High,Delayed,25,6/5/2024
66,42281e5f-8dff-4b08-bb95-f0e1bccfd2d9,Mokwa,Armenia,Delhivery,Rail,2770,84,Rain,Medium,Delayed,18,5/19/2026
67,1936aa57-5332-40ec-a4fc-617368c4c9e9,Kristinehamn,Bayt Ūlā,UPS,Sea,1046,91,Heatwave,Low,Delayed,62,10/16/2024
68,10043016-1201-4df6-bb79-e722f3127e6d,Jinjiahe,Meziměstí,BlueDart,Road,2397,84,Fog,Medium,Delivered,22,2/21/2024
69,01a0efb4-b69f-4b66-89b8-614ae486ae68,Umeå,Kertorejo,DHL,Air,2009,64,Heatwave,High,Delivered,47,1/3/2025
70,79896333-279e-40d8-8572-51b7c0cacf3a,Rusip,Qidi,UPS,Sea,2779,75,Fog,Low,Exception,41,2/23/2025
71,79dfa6df-318b-4a0e-8944-a1d84a454138,Manicaragua,Jiangkou,DHL,Road,2160,43,Heatwave,Medium,In Transit,30,11/29/2024
72,8ae7ffd1-fc19-43b0-8aa7-256b19065b5f,Buenaventura,La Laja,DHL,Sea,1180,41,Fog,Low,Exception,30,8/26/2025
73,12530812-0545-4cb8-8eee-0a1c738caecf,Raszowa,Sunampe,BlueDart,Road,2218,4,Fog,High,In Transit,34,11/4/2025
74,abafb1f3-8acb-4b27-8a96-c9cdbe626b4e,Whakatane,Parang,Delhivery,Rail,2905,54,Storm,High,Delayed,53,7/18/2025
75,a58a9812-163d-4728-8b21-56dc592675ff,Munkfors,Gweru,BlueDart,Rail,500,19,Heatwave,Medium,Exception,8,8/4/2025
76,3d3b29fb-a0e2-4df3-a2d2-90204e25bda9,Kalwaria Zebrzydowska,Vannes,Delhivery,Sea,939,90,Storm,High,Delivered,56,4/13/2026
77,31135642-0f7e-440d-a997-c98ef2ac4d9d,Sơn Tịnh,Dongxiao,DHL,Sea,2367,35,Storm,Medium,Exception,70,5/27/2025
78,4beba64d-f186-4030-8c76-c16216885a73,Headlands,Barrouallie,FedEx,Sea,115,51,Rain,Medium,Delivered,2,8/12/2024
79,5338d2d2-9539-468c-a035-ed098ba69f63,Refojos de Riba de Ave,Phoenix,Delhivery,Air,955,42,Clear,Medium,Delayed,13,5/2/2025
80,bdb17fd2-787d-453e-a2a4-ceaf9ee802e6,Savigny-le-Temple,Karangbayat,UPS,Rail,349,17,Fog,High,Exception,66,11/7/2024
81,19d7ee17-d158-4b16-b5a3-67a3616eb314,Noşratābād,Strömsund,BlueDart,Sea,2017,24,Fog,Low,Delayed,59,3/11/2025
82,c77d9194-2f23-40a1-88fa-e19420a316be,Ziyang Chengguanzhen,Sovetskiy,FedEx,Air,1349,32,Rain,High,Delayed,24,12/10/2025
83,f7a57cdf-f9e3-4670-af25-2e9050eebeaa,Teykovo,Luoyang,BlueDart,Air,2811,97,Clear,High,Delivered,24,9/28/2024
84,de73ea3d-de77-443c-acfa-ddbd44998504,Zhigulevsk,Nikol’skoye,Delhivery,Air,1658,89,Fog,Low,In Transit,39,7/22/2024
85,916118d3-97ec-49f0-b3a3-4ba419f37535,Bystrzyca,Nagrak,BlueDart,Sea,456,70,Clear,Low,Exception,24,11/19/2025
86,0e52349d-a0d1-4def-96d0-a8504294c5c5,Monte Agudo,San Pablo,Delhivery,Road,1807,63,Storm,Low,Exception,28,1/23/2026
87,d0e6d72c-bdc8-4ec3-b099-913c86d98ee6,Dolega District,Wojaszówka,BlueDart,Road,505,89,Heatwave,High,In Transit,13,7/4/2024
88,72fb1be1-5597-4d14-8df2-7bb2564846e0,Qaşr al Farāfirah,San Jose Village,DHL,Road,1439,14,Rain,Medium,Delivered,0,3/16/2025
89,ba22b4ae-a704-448f-ab87-3709042c69b4,Xianyan,Żórawina,DHL,Rail,2591,45,Rain,High,Delayed,34,9/7/2025
90,364d6253-ebb8-4dbc-a653-abcc9fd41714,Byuravan,Dubrava,DHL,Rail,2608,98,Heatwave,High,Delivered,33,5/17/2025
91,131662ba-37b1-41e5-b185-aef8e298bc33,Julayjilah,Achada,DHL,Sea,2576,100,Storm,Medium,Delivered,56,7/16/2025
92,decd0afe-cf63-466b-aff1-1593f6619bab,Wangping,Tripoli,Delhivery,Road,2482,87,Storm,Low,Exception,13,11/13/2025
93,f7aae112-a2d9-4542-b36c-0a26cc100c58,Bumba,Leidschendam,UPS,Rail,1543,64,Clear,Low,Delivered,52,5/6/2024
94,8efba839-f9cc-47cf-957f-c73a83f06289,Umeå,Sampangbitung,Delhivery,Road,384,46,Rain,Low,In Transit,37,9/7/2024
95,999fa2ad-2901-4cbe-a0d6-28d1ece8338e,Arteni,Karmah an Nuzul,BlueDart,Air,1608,12,Storm,High,Delivered,2,12/20/2025
96,bbefacca-b45a-4809-8427-afd1d251e8c3,Warin Chamrap,Žlutice,UPS,Air,2209,52,Storm,Low,Delayed,39,9/8/2024
97,b3b63d03-7b6a-47b5-85dc-3d63863b80cb,Malaruhatan,La Molina,DHL,Air,1204,79,Storm,Low,Delayed,18,5/9/2026
98,aba52b0c-9301-4e8a-a349-c54ad674470c,Janaúba,Ivouani,BlueDart,Road,1365,92,Storm,High,Delayed,39,11/26/2025
99,1abc9901-c358-4d1f-a96f-80cb2958708d,Banjar Ponggang,Colonia Elía,UPS,Air,748,2,Heatwave,High,In Transit,65,9/5/2025
100,589e179e-c07f-4d8b-ab9c-13adf5874252,Blois,Kokoshkino,UPS,Air,1384,46,Fog,High,In Transit,50,1/4/2026
101,d9a62b3a-95f3-4458-8db7-157f690efee9,Dalumangcob,Guacamaya,UPS,Air,1670,33,Fog,Low,Delayed,50,8/24/2025
102,22635cb5-6315-49d7-8dd3-bd5675db080c,Kalangan,Bejucal,UPS,Road,1914,98,Heatwave,Low,Exception,62,3/11/2025
103,1291aa23-7b3d-47af-9ef2-c38517655e77,Novokuybyshevsk,Podosinovets,BlueDart,Rail,709,14,Rain,Low,Exception,64,1/29/2026
104,1a362322-eef5-4b81-be2f-2d79d1865891,Sanhe,Saryözek,Delhivery,Road,1992,62,Rain,Medium,In Transit,43,6/1/2024
105,03c1c7d3-c2c0-4a53-8867-194a91814c96,Cipanas,Hancheng,BlueDart,Air,1543,50,Storm,Low,In Transit,18,2/20/2025
106,70d6714c-66d5-4f2a-b591-4901054e3753,Dobra,Kourou,FedEx,Sea,766,20,Storm,Low,In Transit,38,5/22/2024
107,6b0f09b3-757d-45b3-b0a9-8b95779107f8,Wadeng,Solna,DHL,Road,844,17,Rain,Medium,Delivered,32,3/4/2024
108,dece17c6-e931-4783-b2b5-17d459058a4f,Cuauhtemoc,Qiaoxi,BlueDart,Road,490,36,Fog,Medium,Delivered,26,10/6/2025
109,a6cbc934-cf50-4d60-a224-bb532fc3481c,Maloco,Lukićevo,UPS,Air,568,65,Storm,Medium,In Transit,59,3/22/2024
110,8d8263c6-c87d-44db-bd99-4d037e9c2286,Suocheng,Wagini,Delhivery,Road,2571,38,Rain,High,In Transit,17,3/2/2026
111,08db1174-795c-4824-9881-213475f5b6aa,Sandakan,Sanmiaoqian,Delhivery,Sea,2963,49,Rain,Low,Delayed,58,5/30/2025
112,a1aa8d34-e29e-48e4-b693-2242fb5b57c1,Kedatuan,Gjøvik,UPS,Air,293,53,Heatwave,Medium,Delivered,51,3/3/2025
113,bde77217-9848-41ec-a5f4-f012f823cfa3,Jatake,Eldama Ravine,FedEx,Sea,2217,23,Rain,Medium,Delayed,59,12/28/2024
114,732c6c5e-ab4c-421a-966e-add1e70fda48,Mardā,Soutocico,UPS,Air,278,36,Heatwave,Low,In Transit,46,8/1/2025
115,8f2eb0d3-733a-4b31-b286-dc80281475d5,Brakas,Sindang,FedEx,Air,2181,26,Clear,Medium,Exception,63,1/18/2026
116,1ecae49a-f1e8-4894-8787-8dbd7d57c41c,Quy Đạt,Naagas,BlueDart,Rail,2634,75,Clear,Medium,In Transit,19,9/8/2025
117,70886a95-36a0-4730-8ef4-4ac8cd2bcf7a,Gaoyi,Prelog,Delhivery,Air,2236,7,Clear,Low,Delivered,9,7/7/2024
118,a68c4b53-1e33-40f3-b390-bab8f15f8bd9,Baculin,San Rafael Arriba,BlueDart,Air,1440,30,Storm,Medium,Delivered,20,5/4/2024
119,90bb0c17-17bb-4b13-b919-e885d94d6326,Zheleznovodsk,Chadi,DHL,Road,760,61,Storm,Low,Exception,30,11/14/2025
120,9844d814-fe14-4f21-9799-bc5795a89629,Werangere,Ribeirão Pires,Delhivery,Road,630,34,Clear,Medium,Exception,22,9/27/2024
121,92ac845e-0728-4d90-ae78-dd166230d998,Saratamata,Calaba,DHL,Road,184,59,Fog,High,In Transit,67,6/6/2024
122,5f874180-4872-47b7-9759-baba00140151,Sayansk,Ugba,DHL,Road,2546,98,Clear,Low,Delayed,15,10/1/2025
123,7eec5f22-1607-4d6a-8181-98a27f6d9f66,Fier,Cileunyi,DHL,Road,2615,38,Rain,Low,In Transit,52,6/9/2024
124,de62aa9b-fdc5-4bf8-a1c7-5af4bd077408,Lengji,Martingança,FedEx,Rail,86,68,Fog,Medium,Exception,45,9/2/2025
125,34dc60cd-b4b5-4075-8dee-8f010b48ee11,Santiago de Cuba,Nagrak,DHL,Air,1776,35,Rain,Medium,Exception,48,5/1/2026
126,eb0478a8-cf3e-4cca-a1d0-c85cc899943b,Maslovka,Sanlei,Delhivery,Road,2163,72,Fog,Low,In Transit,21,10/20/2024
127,a677bf43-e19e-4877-8e4d-08fc59681a0c,Ogurugu,Petrolina de Goiás,DHL,Road,1900,74,Rain,High,In Transit,46,12/25/2024
128,cc86f74a-0a06-411f-a3dc-91821919b6a6,Ulashan,Jincheng,DHL,Rail,1615,57,Heatwave,Medium,In Transit,40,7/27/2025
129,38dc0899-a04a-4ab7-8148-0fa9d257428b,Pombal,Pyzdry,DHL,Rail,2736,21,Storm,Medium,Exception,23,7/10/2024
130,4c3a9085-2b17-4cd3-ab98-59b4500d76d6,Nioro,Yili,DHL,Road,1384,44,Storm,Low,In Transit,42,2/23/2025
131,927772fb-e42b-4ae1-b64e-74c5f8eabceb,Uryupinsk,Liberia,Delhivery,Air,1087,22,Heatwave,High,Exception,43,7/23/2025
132,48321875-a782-47e0-af3a-14473fd721b5,Nardaran,Weishan,Delhivery,Sea,1789,41,Storm,Low,Delayed,42,11/22/2024
133,5a4a549f-cb6b-4dc9-97ad-4bbb90d123dc,Arauco,El Paso,BlueDart,Rail,625,37,Clear,Medium,Delayed,34,12/24/2025
134,df520dce-93d8-4f78-968a-f83bf0b21886,Ivanava,Mulhouse,Delhivery,Air,2791,25,Storm,Medium,In Transit,42,11/30/2024
135,f1001890-2ce3-453d-a312-3d544259e586,Sindangsari,Tibigan,Delhivery,Rail,1209,68,Storm,High,Exception,20,3/6/2024
136,2f0ab593-dcec-4aea-92e1-42c3f6ac6e43,Huangjin,Mertani,DHL,Rail,815,66,Fog,Medium,In Transit,29,3/2/2026
137,52061312-8372-4c7e-8431-f513451d06a9,Yungay,Lingquan,BlueDart,Rail,2836,70,Rain,Medium,Delayed,24,4/2/2024
138,33b6f156-8fd2-450b-8d48-d243397c0426,Bangunharja,Leńcze,DHL,Rail,674,31,Storm,Low,Exception,22,5/14/2025
139,5c23d8fc-3607-4b91-af1e-5a6e56e56a18,Novokhopërsk,Kompóti,UPS,Sea,1525,34,Clear,Low,Exception,39,7/22/2024
140,a451b6b7-4bdd-4fae-9048-41a18e80d18b,Kozy,Beidong,FedEx,Air,437,87,Clear,Low,Delivered,70,9/18/2024
141,ac0a581f-e1bd-4332-ba73-afa738d8e6e6,Jankovec,Camgyai,UPS,Sea,2670,74,Heatwave,Low,In Transit,44,3/13/2026
142,f93bb337-3cd4-43f0-a140-839cc0d3c733,Stockholm,Barranco de Loba,UPS,Air,374,20,Storm,Low,Delayed,38,3/21/2024
143,42a288d7-3983-4876-a8ce-05a66cec7429,Nkurenkuru,Providencia,Delhivery,Road,1043,57,Heatwave,Low,In Transit,4,8/6/2025
144,8cb29029-e406-4439-972b-73208e67d727,Ozëry,Gaoping,FedEx,Road,1048,38,Rain,High,Exception,37,1/7/2026
145,8a15ddd5-9cb1-4af1-b8d8-f7dedc816f9f,Listowel,Werbkowice,BlueDart,Rail,481,19,Clear,High,Delivered,21,9/19/2025
146,fefbcca3-a2fa-4696-9216-4edf8099ca1a,Temirtau,Belize City,DHL,Road,2245,34,Fog,Medium,Delivered,11,10/1/2025
147,d25c03d4-24b1-4f34-a0eb-e5ab7a5856e8,Qingkou,Petrov,Delhivery,Rail,824,72,Storm,Low,Delayed,57,2/13/2026
148,a6016451-d96e-41c3-a253-3d09c588bb36,Zhaotong,Karangsari,UPS,Road,992,26,Rain,Low,Exception,46,12/4/2025
149,44c31790-44f5-4557-bcee-6be372417634,Bang Nam Priao,Coyaima,UPS,Air,1471,35,Rain,High,Delayed,70,2/16/2026
150,405fc68a-c82f-4a92-85a6-55ed2399c25e,Papelón,Tazarine,BlueDart,Sea,2024,56,Fog,Medium,Delayed,69,4/2/2024
151,beec13b9-f883-46d5-a135-f1d9c05855fe,Knežica,Iksha,FedEx,Road,761,11,Clear,Medium,Delayed,47,1/29/2026
152,0dae668f-d6b3-42b1-af4a-4e8c37ba47f2,Luxia,Songdong,DHL,Rail,87,85,Clear,Medium,Exception,55,11/1/2024
153,756b30ab-c4dd-4820-9e57-51f5cddfe235,Yataity del Norte,Vardane,DHL,Rail,2379,86,Storm,Medium,In Transit,6,3/30/2024
154,11338d44-79fb-4b08-8d77-11c8a0871620,Sakado,Albufeira,DHL,Rail,2970,30,Storm,High,Delivered,38,3/13/2026
155,eedb8b6e-8581-4dcc-90ff-445d54021d28,Zengtian,Dawan,Delhivery,Rail,1983,26,Heatwave,Medium,In Transit,32,12/3/2025
156,dbd1ea6a-b384-4957-8b8d-81d41816a3d1,Vimmerby,Sandaotong,BlueDart,Rail,313,24,Heatwave,Medium,In Transit,22,7/7/2025
157,8d8a9555-0250-4875-a8fe-04a450c5b5c2,Mucifal,Kobryn,Delhivery,Rail,1906,49,Heatwave,High,Delayed,66,7/25/2025
158,c2867eca-dbb9-4c2c-8608-eb659faa76db,São Carlos,Pompéia,UPS,Rail,1053,97,Fog,Medium,Delayed,46,10/28/2024
159,de5799e7-df3b-4f03-ae35-7b2a71c8045b,Margorejo,Pandi,DHL,Air,2139,20,Fog,Medium,Delayed,69,9/7/2025
160,11495251-2bf4-4ca5-8db4-121c7534aa5c,Jorowaru Daya,Nytva,Delhivery,Air,583,68,Clear,Low,In Transit,59,10/28/2024
161,b14ad94f-7d78-4c81-8bec-e2dd14b22075,Novodvinsk,El Estor,DHL,Rail,1192,59,Heatwave,High,Delayed,9,3/24/2025
162,305ae96b-2ae0-4b0d-8314-ab9f864018f9,Emmeloord,Esperanza,UPS,Road,2971,68,Storm,High,Exception,35,6/24/2024
163,7ce1f37d-cd95-411a-b09e-e0896ebc0225,Cruz das Almas,Seattle,BlueDart,Sea,1002,44,Fog,Medium,Delayed,26,3/18/2024
164,837f6e14-fffe-454f-a5d1-c0a89cc410a7,Da-an Sur,Cabeçudos,BlueDart,Rail,1076,98,Storm,Medium,Delivered,62,12/14/2024
165,5813144c-6ae1-46b9-b2d3-94c5767bd01c,Tupã,Gongpo,UPS,Rail,1300,12,Heatwave,Low,Delivered,22,3/26/2025
166,b03c34fc-5d09-4f13-ba02-1becdf7991c5,Suay,Tugusirna,Delhivery,Sea,873,63,Storm,Low,Delivered,45,9/24/2025
167,ad802df5-18d8-4b08-854b-afea514ab2b5,Shiyan,Ulanov,FedEx,Air,2400,35,Rain,Medium,In Transit,30,5/21/2025
168,6417f968-a3bd-4586-90e2-3cb1da6ff2c5,Malonty,Roboré,DHL,Rail,1928,63,Heatwave,High,Exception,7,5/28/2024
169,54de23aa-4ded-417c-82fe-cd7591cd51ff,Nnewi,Praya,BlueDart,Sea,1302,44,Heatwave,Medium,In Transit,11,2/26/2026
170,0692c8e1-b49a-4d79-9222-508551a787ef,Atães,Argenteuil,BlueDart,Road,494,87,Storm,Low,Exception,13,12/3/2025
171,a20f660b-f4bd-4284-bfe3-bbc4b5773c4e,Batanghari,Evansville,FedEx,Sea,1777,22,Fog,Medium,Delayed,57,2/15/2024
172,cab0d140-08a7-4ddb-8fe7-331259cc5b9f,Hexi,Otan Aiyegbaju,Delhivery,Road,92,16,Heatwave,Medium,Delayed,57,4/2/2026
173,609d1cb9-7f9f-49f2-9faf-cbed38b63117,Guozhuang,Linqu,UPS,Sea,2552,51,Clear,Medium,Delivered,21,7/20/2024
174,92330cca-2442-4f0c-a78a-dc8470a300e6,Pirassununga,Al Mughayyir,FedEx,Air,169,74,Fog,Medium,Exception,63,4/19/2024
175,e6a09c36-cd4e-4046-9f0d-f71674fd09f7,Kauran,Hitiaa,FedEx,Sea,2780,21,Fog,Low,In Transit,68,10/24/2024
176,0e480852-e4bc-43cd-933a-eb2f19a2d0fe,Gozdowo,Saryshaghan,Delhivery,Road,318,47,Fog,Medium,Delivered,61,1/27/2025
177,9c3e4d2d-7e2e-471b-a42a-6cdc4f57a48a,Nice,Jandaia do Sul,FedEx,Air,1331,54,Rain,High,In Transit,66,3/4/2026
178,a21334ab-0114-44ff-9447-0b06ba1f83fd,Anjirmuara,Raejeru,Delhivery,Rail,1881,61,Fog,High,In Transit,22,9/8/2024
179,e05c41f8-60f4-4854-801b-c708040306bc,Sapat,Sacotes,DHL,Road,1646,78,Rain,Medium,Delayed,72,8/26/2024
180,68f7a5f7-d454-4f96-b114-8ca900517cb3,Chiara,Jahrom,DHL,Road,944,45,Rain,Low,Exception,50,8/23/2025
181,0b1d8724-a04e-4f8d-a369-de5b734f8246,Svalöv,Kelīshād va Sūdarjān,Delhivery,Air,2222,74,Fog,Low,Delayed,60,7/5/2025
